student_id,gender,age,attendance_percent,study_hours_per_week,parental_education,previous_exam_score,math_score,science_score,english_score,internet_access,extracurricular_activities,socio_economic_status,school_type,performance_level
S0040,Male,16,70.6,6.2,Postgraduate,72.4,15.3,21.9,23.4,No,No,Middle,Public,Medium
S0041,Male,15,90.7,16.3,Postgraduate,49.0,12.5,3.1,13.7,Yes,No,Low,Public,Low
S0042,Male,15,86.5,13.2,Diploma,52.9,36.8,40.2,36.8,No,Yes,Low,Public,High
S0043,Male,18,75.3,4.1,Postgraduate,54.6,4.4,1.5,7.9,Yes,No,Low,Private,Low
S0044,Male,15,78.4,7.0,High school,51.2,48.5,29.1,44.7,No,Yes,High,Public,High
S0045,Male,15,70.4,4.8,High school,48.7,22.4,13.9,24.0,No,No,Low,Private,Medium
S0046,Male,17,78.2,3.1,Undergraduate,56.4,13.8,13.9,13.0,No,No,High,Public,Low
S0047,Female,16,81.6,11.4,Diploma,47.0,43.3,39.5,42.5,No,No,High,Public,High
S0048,Male,16,85.4,15.7,Postgraduate,53.2,29.0,25.5,27.0,Yes,No,High,Public,Medium
S0049,Male,16,83.2,9.6,Undergraduate,97.7,17.1,29.0,20.8,Yes,Yes,Middle,Private,Medium
S0050,Female,16,76.4,13.8,Undergraduate,63.5,39.5,49.1,44.4,No,No,High,Public,High
S0051,Male,18,75.4,5.8,High school,77.7,24.1,30.8,31.1,No,Yes,High,Public,Medium
S0052,Female,18,88.6,16.4,Postgraduate,58.5,9.1,15.3,16.6,Yes,No,Middle,Private,Low
S0053,Male,18,86.5,5.5,No formal,97.8,41.9,43.5,27.3,No,Yes,High,Public,High
S0054,Female,18,76.1,15.9,Diploma,75.9,8.7,12.0,4.4,Yes,Yes,Middle,Private,Low
S0055,Male,15,84.9,5.6,Postgraduate,77.9,10.5,5.1,5.0,Yes,No,Middle,Public,Low
S0056,Male,18,98.7,0.7,Undergraduate,82.2,20.4,22.5,18.4,Yes,No,Middle,Public,Medium
S0057,Female,15,99.9,5.8,No formal,44.8,25.4,17.2,14.5,No,Yes,High,Public,Medium
S0058,Male,18,77.9,4.7,Undergraduate,65.4,29.9,13.4,28.8,No,No,High,Public,Medium
S0059,Female,18,90.2,15.7,Postgraduate,70.8,48.1,34.0,36.5,Yes,No,High,Private,High
S0060,Female,15,81.5,18.0,Diploma,64.1,43.6,47.2,31.2,Yes,No,High,Private,High
S0061,Male,15,92.1,5.9,Postgraduate,76.9,17.4,19.6,13.3,Yes,No,Middle,Private,Medium
S0062,Male,17,89.5,6.0,Undergraduate,49.6,28.4,23.5,16.4,No,No,High,Private,Medium
S0063,Male,18,92.8,6.7,No formal,61.5,18.5,19.0,25.7,Yes,Yes,High,Public,Medium
S0064,Female,15,92.0,4.4,Diploma,40.7,38.8,44.5,42.0,No,Yes,Middle,Public,High
S0065,Female,18,73.0,14.0,Undergraduate,85.4,2.6,15.0,11.1,Yes,No,Low,Private,Low
S0066,Female,17,71.6,14.8,No formal,99.1,3.5,8.8,11.4,No,No,Middle,Private,Low
S0067,Female,17,98.7,16.3,Undergraduate,74.7,34.7,48.9,48.1,No,Yes,Low,Public,High
S0068,Male,18,98.8,2.6,Diploma,45.7,5.2,0.2,6.1,No,No,Low,Private,Low
S0069,Female,16,85.0,13.3,Diploma,41.3,27.7,32.4,12.7,No,Yes,High,Private,Medium
S0070,Female,18,98.2,12.0,Undergraduate,42.2,33.4,36.7,38.8,Yes,Yes,Low,Public,High
S0071,Female,15,96.1,14.5,Undergraduate,75.5,15.3,3.0,5.1,No,No,Low,Public,Low
S0072,Female,17,80.3,12.1,Undergraduate,78.0,6.8,0.8,4.0,Yes,Yes,High,Private,Low
S0073,Male,17,75.5,1.1,Undergraduate,87.7,6.0,5.2,10.4,No,Yes,Low,Private,Low
S0074,Female,16,89.1,10.1,High school,48.4,47.3,28.3,30.7,Yes,No,High,Private,High
S0075,Female,15,88.9,2.0,Postgraduate,55.1,37.8,30.9,43.9,No,No,Low,Public,High
S0076,Male,17,71.1,11.0,Diploma,75.4,43.3,37.0,28.3,Yes,No,Middle,Private,High
S0077,Female,15,93.6,11.4,Undergraduate,99.2,40.3,28.4,44.1,Yes,Yes,Low,Private,High
S0078,Male,18,93.3,2.2,Postgraduate,55.0,0.3,5.7,7.3,No,Yes,Low,Private,Low
S0079,Female,15,82.1,17.5,Undergraduate,61.6,32.0,41.2,47.4,No,Yes,Low,Private,High
S0080,Female,15,97.8,14.1,High school,66.4,36.9,36.7,48.9,No,Yes,High,Private,High
S0081,Female,17,70.8,12.7,High school,52.4,47.2,35.8,45.1,Yes,No,Low,Private,High
S0082,Male,18,75.8,4.8,Diploma,52.3,23.5,28.5,29.0,Yes,No,Middle,Public,Medium
S0083,Female,16,87.6,2.1,Postgraduate,70.0,22.5,19.8,29.0,No,Yes,Middle,Private,Medium
S0084,Male,15,82.3,5.4,Undergraduate,48.1,24.5,18.6,23.7,No,No,Low,Private,Medium
S0085,Female,18,87.5,9.8,Undergraduate,55.7,12.2,9.2,5.5,No,Yes,High,Private,Low
S0086,Female,18,91.8,6.0,No formal,55.2,1.9,10.5,9.9,Yes,No,Low,Public,Low
S0087,Female,17,91.0,7.1,Diploma,93.3,12.9,15.2,6.1,No,No,Low,Private,Low
S0088,Female,17,83.0,2.0,High school,44.6,32.3,28.6,19.8,Yes,No,Low,Public,Medium
S0089,Male,18,74.4,15.1,No formal,56.8,38.0,43.2,47.1,Yes,No,Low,Private,High
S0090,Male,17,73.8,2.9,Postgraduate,65.8,32.6,42.3,44.7,Yes,No,Low,Private,High
S0091,Male,18,96.6,14.5,Postgraduate,67.7,28.1,23.1,31.4,Yes,No,Low,Private,Medium
S0092,Male,17,76.9,15.1,No formal,87.3,16.7,10.9,1.9,Yes,Yes,Middle,Public,Low
S0093,Male,18,93.5,7.3,Undergraduate,69.3,17.4,16.5,33.8,Yes,No,Low,Private,Medium
S0094,Male,16,88.5,3.6,High school,88.5,34.9,46.1,40.3,No,No,High,Public,High
S0095,Male,16,97.4,14.1,High school,82.1,32.6,27.4,20.4,No,No,High,Public,Medium
S0096,Female,18,96.4,16.0,Undergraduate,42.7,10.8,10.7,6.8,Yes,Yes,High,Private,Low
S0097,Female,16,96.2,15.7,High school,83.9,34.7,23.4,16.3,Yes,Yes,Low,Private,Medium
S0098,Female,17,93.2,4.1,Diploma,42.5,4.1,10.8,13.8,Yes,No,High,Private,Low
S0099,Male,18,96.4,13.5,High school,60.9,10.3,13.3,16.9,No,No,High,Public,Low
S0100,Female,17,87.0,14.3,Diploma,94.4,46.4,29.7,29.9,No,No,High,Public,High
S0101,Male,17,71.6,17.5,Postgraduate,54.7,48.7,30.4,47.1,Yes,No,High,Public,High
S0102,Male,18,76.3,3.1,Undergraduate,84.2,21.9,28.7,19.4,No,Yes,Middle,Private,Medium
S0103,Female,18,83.3,16.8,No formal,98.5,45.0,35.4,31.4,Yes,Yes,Middle,Private,High
S0104,Female,17,78.1,8.9,High school,99.2,31.2,24.7,26.1,No,Yes,Middle,Public,Medium
S0105,Female,15,79.3,14.7,No formal,90.3,32.1,15.5,24.4,Yes,No,Middle,Public,Medium
S0106,Female,16,76.9,7.3,No formal,56.1,9.4,14.2,2.6,No,No,Low,Public,Low
S0107,Female,16,82.7,12.5,High school,78.6,12.1,0.3,8.8,No,Yes,Middle,Private,Low
S0108,Male,16,73.9,12.3,Undergraduate,57.8,6.4,8.4,2.2,No,No,Low,Public,Low
S0109,Female,17,73.6,17.0,High school,44.7,1.6,15.3,10.9,Yes,Yes,High,Private,Low
S0110,Male,15,94.3,13.3,Diploma,65.6,31.0,28.1,24.3,No,Yes,Middle,Public,Medium
S0111,Female,18,92.6,16.8,Undergraduate,65.1,32.2,40.4,33.0,Yes,No,Low,Private,High
S0112,Male,17,95.7,1.3,Diploma,47.1,23.1,16.9,14.7,No,Yes,Middle,Private,Medium
S0113,Male,17,75.8,12.1,Undergraduate,75.8,1.6,12.3,16.1,Yes,Yes,Middle,Public,Low
S0114,Female,18,79.4,11.6,High school,72.3,16.0,25.7,16.7,No,Yes,Low,Public,Medium
S0115,Male,18,73.2,14.8,Postgraduate,77.3,8.1,14.8,13.4,Yes,Yes,Middle,Public,Low
S0116,Female,18,94.3,16.4,Undergraduate,80.4,33.7,48.2,46.5,No,No,Middle,Public,High
S0117,Male,15,90.6,2.5,Postgraduate,82.7,30.2,24.3,26.0,No,Yes,High,Private,Medium
S0118,Male,18,95.6,8.3,Diploma,90.0,6.0,1.3,5.3,Yes,No,Low,Private,Low
S0119,Male,15,95.5,9.5,Undergraduate,79.2,43.2,49.3,32.1,No,No,Middle,Public,High
S0120,Female,18,97.2,17.1,Postgraduate,43.1,27.3,14.2,25.1,No,Yes,Low,Public,Medium
S0121,Female,16,85.9,10.7,Diploma,49.0,29.8,28.8,32.3,Yes,No,Middle,Private,Medium
S0122,Female,16,74.7,15.1,Postgraduate,54.0,21.5,22.5,24.6,No,Yes,Middle,Private,Medium
S0123,Female,17,74.7,1.1,Postgraduate,98.4,17.4,13.6,9.9,Yes,Yes,Middle,Private,Low
S0124,Female,17,77.3,13.6,High school,54.9,8.2,4.2,4.1,No,No,High,Private,Low
S0125,Female,18,80.8,7.2,High school,78.0,0.3,14.9,5.3,Yes,No,High,Public,Low
S0126,Female,18,90.3,16.6,Diploma,84.1,33.9,29.0,40.6,Yes,Yes,Low,Public,High
S0127,Female,17,84.1,15.2,Undergraduate,46.6,32.9,30.9,27.8,Yes,Yes,High,Public,Medium
S0128,Male,16,85.6,8.9,Diploma,55.5,38.2,42.7,32.3,No,Yes,High,Public,High
S0129,Female,15,72.8,3.5,Postgraduate,63.6,20.2,14.9,12.4,Yes,No,High,Public,Medium
S0130,Female,16,84.5,12.5,High school,87.2,28.7,19.3,14.1,Yes,Yes,Middle,Public,Medium
S0131,Male,17,71.8,15.7,High school,54.4,49.9,34.2,35.6,Yes,Yes,Middle,Private,High
S0132,Female,18,93.8,9.2,Postgraduate,97.9,35.1,42.5,27.4,No,No,Middle,Private,High
S0133,Male,15,85.9,12.6,No formal,87.7,1.3,15.8,8.5,Yes,Yes,High,Public,Low
S0134,Female,18,79.0,17.2,No formal,82.5,4.0,12.6,9.2,Yes,No,Middle,Private,Low
S0135,Female,16,82.4,8.7,High school,41.2,33.1,44.1,44.7,Yes,No,High,Public,High
S0136,Male,16,74.3,14.4,Postgraduate,88.5,8.5,9.9,5.8,Yes,Yes,Low,Public,Low
S0137,Male,17,80.0,8.1,High school,49.1,34.9,32.6,12.2,No,No,Low,Public,Medium
S0138,Female,17,87.7,0.8,Undergraduate,48.9,24.0,32.7,32.3,Yes,No,High,Public,Medium
S0139,Male,16,77.8,9.5,Undergraduate,90.8,34.7,17.8,15.3,No,Yes,Low,Public,Medium
S0140,Male,16,76.9,10.5,High school,96.8,4.4,3.0,10.4,No,Yes,High,Private,Low
S0141,Male,18,78.7,0.3,Diploma,43.4,3.0,0.2,6.2,Yes,No,Low,Public,Low
S0142,Male,18,76.5,6.7,High school,68.8,2.7,8.8,1.4,Yes,Yes,Middle,Public,Low
S0143,Female,15,75.4,3.9,Postgraduate,96.8,34.8,16.4,32.4,No,Yes,High,Public,Medium
S0144,Female,15,96.6,11.0,No formal,49.9,43.9,38.5,36.9,Yes,No,Middle,Private,High
S0145,Male,15,70.6,17.7,No formal,89.3,41.9,48.2,44.8,Yes,Yes,High,Private,High
S0146,Male,17,87.5,4.3,Postgraduate,86.4,9.7,9.9,15.0,No,Yes,Middle,Public,Low
S0147,Female,16,78.2,0.6,High school,49.4,5.8,4.7,6.2,No,No,Low,Public,Low
S0148,Male,18,97.5,4.9,High school,54.3,13.7,2.1,7.4,No,Yes,Middle,Public,Low
S0149,Female,16,99.4,10.5,High school,49.3,27.2,18.7,12.6,Yes,Yes,Middle,Public,Medium
S0150,Female,18,95.0,11.1,No formal,73.9,9.1,11.7,13.4,No,Yes,Low,Private,Low
S0151,Male,16,83.6,1.0,Undergraduate,88.9,34.8,37.3,49.8,No,Yes,High,Public,High
S0152,Female,15,74.1,3.5,Diploma,68.2,29.0,19.5,23.5,No,No,Middle,Public,Medium
S0153,Male,18,97.9,9.3,High school,80.8,37.3,43.7,29.9,Yes,No,Low,Public,High
S0154,Female,18,91.6,4.1,Diploma,82.4,17.1,31.6,28.7,Yes,No,High,Public,Medium
S0155,Male,15,79.4,17.4,High school,52.3,34.6,47.9,38.8,Yes,Yes,Low,Private,High
S0156,Male,17,73.8,7.4,No formal,55.4,32.2,31.5,36.5,No,Yes,Low,Public,High
S0157,Male,18,81.7,1.3,No formal,59.0,31.3,15.1,32.3,Yes,Yes,High,Private,Medium
S0158,Male,15,71.6,15.9,Diploma,71.4,12.7,1.3,13.1,No,Yes,Low,Private,Low
S0159,Female,17,89.1,7.1,No formal,74.2,25.2,28.4,20.9,No,No,Low,Public,Medium
S0160,Male,17,75.0,12.9,Diploma,93.2,46.9,29.5,43.8,Yes,Yes,Middle,Private,High
S0161,Male,18,72.9,4.3,High school,92.0,22.9,22.6,31.7,No,Yes,High,Public,Medium
S0162,Female,17,75.5,2.0,High school,86.6,31.1,19.1,13.1,Yes,Yes,Middle,Public,Medium
S0163,Female,17,75.5,14.9,High school,41.7,16.2,23.0,15.2,Yes,No,High,Public,Medium
S0164,Female,16,98.3,6.7,No formal,54.4,16.6,8.8,6.9,Yes,Yes,Middle,Private,Low
S0165,Male,17,93.9,15.6,Diploma,60.8,1.6,0.6,15.7,Yes,Yes,Low,Private,Low
S0166,Male,18,82.6,10.1,Postgraduate,72.7,0.5,1.9,5.5,Yes,Yes,Low,Public,Low
S0167,Male,16,70.8,9.5,Undergraduate,61.7,34.0,27.8,26.3,Yes,No,Middle,Public,Medium
S0168,Male,16,92.4,14.7,Undergraduate,82.5,6.9,7.9,1.8,Yes,No,Low,Private,Low
S0169,Male,16,88.6,5.2,Postgraduate,95.2,35.8,36.8,34.2,Yes,No,Middle,Private,High
S0170,Male,16,80.2,0.7,High school,50.3,41.1,44.5,34.1,Yes,Yes,High,Public,High
S0171,Male,15,83.1,4.8,Diploma,42.7,33.8,27.3,13.2,No,Yes,Low,Public,Medium
S0172,Male,18,98.3,15.3,Undergraduate,68.6,48.9,39.9,38.4,No,No,Middle,Public,High
S0173,Female,17,79.7,5.2,No formal,47.8,12.8,5.9,12.4,No,No,Middle,Public,Low
S0174,Female,15,87.9,7.3,Postgraduate,59.8,11.9,14.1,15.4,Yes,Yes,Low,Public,Low
S0175,Female,16,71.4,1.3,No formal,52.0,46.8,41.1,41.7,No,No,Low,Public,High
S0176,Female,17,83.9,12.4,High school,53.5,34.7,36.9,40.2,No,Yes,Middle,Private,High
S0177,Female,17,70.2,10.0,High school,62.2,47.0,32.2,43.3,Yes,Yes,Middle,Public,High
S0178,Female,17,89.5,11.1,High school,43.1,35.0,37.7,28.4,Yes,No,Middle,Public,High
S0179,Female,16,93.6,5.4,No formal,75.5,19.1,16.0,23.9,No,No,High,Private,Medium
S0180,Female,16,74.1,0.2,Postgraduate,51.2,34.8,42.9,30.5,No,No,Middle,Public,High
S0181,Male,16,92.1,10.2,High school,50.4,1.0,5.5,15.6,No,Yes,Low,Private,Low
S0182,Male,18,89.1,8.6,High school,64.5,25.6,32.1,25.9,Yes,Yes,Middle,Private,Medium
S0183,Male,17,80.7,16.0,Postgraduate,74.7,49.3,45.3,36.3,Yes,No,Middle,Private,High
S0184,Male,18,96.3,14.7,No formal,87.9,33.4,15.9,23.5,No,No,Middle,Public,Medium
S0185,Female,15,78.5,14.6,High school,68.8,32.4,20.5,14.7,Yes,No,Middle,Public,Medium
S0186,Male,18,72.6,1.3,High school,84.0,17.9,5.0,4.7,No,No,High,Public,Low
S0187,Male,15,90.4,9.0,No formal,84.2,6.7,2.7,5.6,No,Yes,Low,Private,Low
S0188,Male,15,83.9,3.3,Diploma,45.8,21.9,25.2,22.3,No,No,Middle,Public,Medium
S0189,Male,16,83.2,9.6,Diploma,42.7,46.1,31.8,37.8,Yes,Yes,Middle,Private,High
S0190,Female,18,94.3,10.4,High school,67.1,0.2,9.5,12.1,Yes,Yes,High,Private,Low
S0191,Female,15,77.0,6.4,Diploma,85.0,16.3,2.7,12.5,No,No,Low,Public,Low
S0192,Male,16,82.5,4.6,Diploma,83.3,34.5,20.0,24.7,No,Yes,Low,Public,Medium
S0193,Male,18,75.1,8.0,High school,65.3,42.6,35.9,30.1,No,Yes,Low,Public,High
S0194,Male,15,76.2,15.6,High school,59.1,2.7,6.4,6.6,Yes,No,High,Private,Low
S0195,Female,15,92.1,14.2,High school,87.3,23.0,17.8,19.9,Yes,No,Low,Public,Medium
S0196,Female,18,96.5,10.9,Undergraduate,73.5,44.3,41.1,32.1,No,Yes,Low,Private,High
S0197,Male,16,74.0,13.7,High school,83.1,23.8,16.2,17.1,Yes,No,Middle,Public,Medium
S0198,Female,15,98.1,16.3,High school,88.8,39.1,31.0,39.4,No,Yes,High,Public,High
S0199,Male,18,81.3,13.1,Postgraduate,50.1,49.5,38.0,44.8,Yes,No,Low,Public,High
S0200,Female,16,82.6,4.1,No formal,97.5,49.5,47.7,42.1,Yes,Yes,High,Public,High
S0201,Male,15,88.8,8.7,High school,96.0,5.9,5.9,12.3,Yes,No,Low,Public,Low
S0202,Female,16,76.7,11.2,Postgraduate,68.9,38.7,29.2,41.4,No,Yes,High,Private,High
S0203,Female,15,97.2,2.7,High school,80.4,26.7,25.5,26.6,Yes,Yes,Low,Private,Medium
S0204,Male,15,86.7,3.8,High school,72.2,19.2,26.9,20.7,No,No,Middle,Private,Medium
S0205,Male,17,83.6,8.8,Postgraduate,54.0,45.0,34.3,37.9,Yes,Yes,High,Public,High
S0206,Male,18,87.2,2.3,Postgraduate,60.7,31.2,34.1,47.6,Yes,Yes,Middle,Private,High
S0207,Male,18,90.5,13.4,Postgraduate,73.5,30.4,27.4,22.3,No,Yes,Low,Private,Medium
S0208,Male,17,82.0,14.6,No formal,48.4,19.8,32.2,22.4,No,Yes,Middle,Private,Medium
S0209,Female,16,99.8,10.6,High school,94.2,35.7,39.2,32.1,No,Yes,High,Private,High
S0210,Male,15,89.3,13.2,Undergraduate,51.3,2.7,9.4,0.8,Yes,Yes,Middle,Private,Low
S0211,Female,15,99.8,13.5,Postgraduate,77.3,11.7,15.0,14.3,No,Yes,High,Public,Low
S0212,Male,18,86.4,7.4,No formal,77.5,33.9,48.9,46.2,Yes,No,Middle,Private,High
S0213,Male,16,91.4,10.4,No formal,82.9,33.5,13.1,33.4,Yes,Yes,Low,Public,Medium
S0214,Male,18,85.0,15.3,No formal,98.7,2.6,2.9,9.4,No,No,High,Private,Low
S0215,Female,18,73.1,2.0,High school,83.3,34.2,46.5,32.6,No,No,Low,Public,High
S0216,Female,18,80.8,10.1,Undergraduate,71.2,8.5,3.8,11.8,Yes,No,Middle,Private,Low
S0217,Male,17,73.3,13.3,Postgraduate,81.0,20.2,23.9,18.0,Yes,Yes,Middle,Private,Medium
S0218,Female,16,77.5,3.5,Postgraduate,44.9,37.0,42.8,37.0,No,Yes,Low,Private,High
S0219,Female,15,98.7,14.7,Postgraduate,99.5,12.9,8.8,0.9,No,No,High,Public,Low
S0220,Female,15,86.3,9.7,Undergraduate,65.7,34.5,29.6,15.2,No,Yes,Middle,Public,Medium
S0221,Female,18,97.1,9.9,No formal,68.6,13.6,7.6,1.0,No,No,Low,Private,Low
S0222,Female,17,95.2,5.7,No formal,62.2,5.7,12.1,5.7,No,Yes,Low,Private,Low
S0223,Male,15,82.7,0.0,No formal,50.4,23.7,28.3,21.4,No,No,High,Public,Medium
S0224,Female,16,76.5,5.1,Diploma,45.5,47.0,45.0,43.7,No,No,Low,Private,High
S0225,Male,16,80.0,8.8,Postgraduate,88.0,31.0,48.2,45.6,No,Yes,Middle,Public,High
S0226,Male,16,97.1,12.2,Diploma,69.4,18.2,24.5,32.9,No,No,High,Private,Medium
S0227,Female,15,92.6,17.8,Diploma,40.1,2.3,11.1,13.7,No,No,Middle,Private,Low
S0228,Female,17,73.1,17.2,Diploma,65.9,5.4,3.7,2.8,No,Yes,High,Public,Low
S0229,Female,17,99.3,0.2,Postgraduate,67.5,25.9,29.6,32.6,Yes,Yes,Middle,Public,Medium
S0230,Male,18,90.5,13.0,No formal,67.1,12.7,2.8,6.7,No,No,High,Public,Low
S0231,Female,18,88.4,0.1,Postgraduate,59.7,3.6,12.5,2.4,Yes,No,Middle,Public,Low
S0232,Female,18,91.8,16.8,High school,67.5,2.2,13.8,11.9,Yes,Yes,Low,Public,Low
S0233,Male,15,71.0,10.5,High school,83.0,5.6,6.3,2.0,No,Yes,High,Private,Low
S0234,Female,16,89.7,10.7,Diploma,81.6,44.9,41.0,33.1,Yes,No,Middle,Public,High
S0235,Female,15,99.4,11.6,Postgraduate,86.5,20.9,24.6,29.8,No,No,Low,Public,Medium
S0236,Male,16,79.1,3.9,No formal,63.4,44.0,38.6,30.1,Yes,No,Low,Private,High
S0237,Female,18,99.9,13.1,Undergraduate,89.3,20.6,24.6,27.4,Yes,Yes,Low,Public,Medium
S0238,Female,18,78.8,13.0,High school,55.3,32.1,16.0,16.4,No,Yes,High,Private,Medium
S0239,Male,16,91.9,17.1,No formal,84.5,33.7,38.0,31.6,Yes,Yes,High,Public,High
S0240,Male,16,72.9,9.3,High school,70.8,30.6,42.8,45.2,No,Yes,Low,Public,High
S0241,Male,15,81.6,4.9,Diploma,89.4,16.2,19.7,30.1,No,No,Middle,Private,Medium
S0242,Male,18,93.9,0.8,High school,62.2,7.9,9.3,14.3,No,Yes,Middle,Public,Low
S0243,Male,17,79.6,5.7,Diploma,92.3,15.3,10.4,2.8,No,Yes,Middle,Public,Low
S0244,Male,18,84.7,9.3,No formal,47.7,29.5,31.8,29.5,Yes,No,High,Private,Medium
S0245,Male,18,99.3,10.5,Postgraduate,74.4,48.5,28.5,41.3,Yes,Yes,High,Private,High
S0246,Female,17,81.9,8.4,Postgraduate,90.7,46.2,30.2,42.1,Yes,No,Low,Public,High
S0247,Female,15,89.1,0.1,High school,69.7,34.2,29.3,28.4,No,No,Middle,Private,High
S0248,Male,17,88.6,12.0,Postgraduate,73.9,3.3,13.2,13.8,No,Yes,High,Private,Low
S0249,Female,17,86.5,5.3,No formal,55.7,7.8,2.5,5.9,Yes,No,Low,Private,Low
S0250,Male,17,70.0,2.7,Diploma,73.3,18.5,17.4,31.6,No,No,High,Public,Medium
S0251,Male,15,86.8,1.5,No formal,57.5,46.7,40.6,36.5,No,No,Middle,Public,High
S0252,Male,16,87.6,12.7,High school,63.4,43.0,47.3,45.0,Yes,Yes,Low,Private,High
S0253,Male,18,94.9,12.6,No formal,79.9,47.9,43.3,45.1,Yes,No,High,Public,High
S0254,Male,17,98.6,8.6,No formal,90.9,1.6,12.1,6.1,Yes,Yes,High,Private,Low
S0255,Female,16,79.5,11.3,No formal,42.5,11.5,7.4,14.6,Yes,No,High,Private,Low
S0256,Male,17,72.2,10.0,No formal,83.7,31.8,38.4,36.2,Yes,No,Middle,Private,High
S0257,Female,18,83.5,15.6,Postgraduate,74.4,38.0,39.3,35.2,Yes,No,Low,Private,High
S0258,Male,16,71.8,13.1,High school,95.1,25.3,32.7,17.5,No,Yes,High,Private,Medium
S0259,Female,15,85.8,17.3,High school,89.9,32.7,48.1,49.3,Yes,Yes,High,Private,High
S0260,Female,17,75.9,2.5,No formal,82.0,4.2,1.2,9.8,Yes,No,Middle,Public,Low
S0261,Male,17,81.1,13.2,Postgraduate,59.4,34.4,47.7,47.6,No,No,High,Public,High
